"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"314","@josh_robb Awesome to hear you're a fan of our app Josh, thanks for sharing. ^HM",FALSE,1,"josh_robb",2019-11-20 23:52:43,FALSE,"1196895326033985536","1197301779849007105","7137252","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"315","@sarah_neeson Sure can Sarah. No worries, let us know how you get on. :) ^HM",FALSE,0,"sarah_neeson",2019-11-18 20:35:51,FALSE,"1196295745357242368","1196527459950305280","95043150","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"316","@sarah_neeson Hi Sarah, awesome to hear you're a fan of our Z Espress. Are you referring to our pre-order coffee? W… https://t.co/bHOEMrfy8F",FALSE,0,"sarah_neeson",2019-11-17 22:38:13,TRUE,"1195505853333299201","1196195865393795075","95043150","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"317","@CarlElphick That sure is some pretty neat artwork Carl!",FALSE,0,"CarlElphick",2019-11-13 00:16:08,FALSE,"1194159156602626048","1194408567148875778","18274191","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"318","@CarlElphick Throwing waaaayyy back to '15! Thanks for sharing @CarlElphick <U+0001F60A>",FALSE,0,"CarlElphick",2019-11-12 21:16:41,FALSE,"1194159156602626048","1194363408864272384","18274191","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","zenergynz",0,FALSE,FALSE,NA,NA
"319","How can we better address customer demand for healthy options on the road? Today we open our first @HabitualFix in… https://t.co/cxeaB1pvCM",FALSE,3,NA,2019-11-12 21:12:53,TRUE,NA,"1194362453917749249",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","zenergynz",0,FALSE,FALSE,NA,NA
"320","Shubh #Diwali https://t.co/kFfaT60vZh",FALSE,5,NA,2019-11-11 22:15:22,FALSE,NA,"1194015787373092864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zenergynz",0,FALSE,FALSE,NA,NA
"321","EXCELLENT news - the Zero Carbon Bill will go through with cross party consensus. In our response to the Bill, we e… https://t.co/EUk68un9dW",FALSE,23,NA,2019-11-07 03:20:55,TRUE,NA,"1192280745416544257",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",3,FALSE,FALSE,NA,NA
"322","@stevebiddle Hi Steve, we are very sorry about the error with Pumped this morning. This should all be fixed now and… https://t.co/quKsauaDhm",FALSE,0,"stevebiddle",2019-11-06 22:12:43,TRUE,"1192193613230292992","1192203181377363969","18113473","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"323","@nzmilky Hi Marcus, we are very sorry to hear about this issue. I believe our Sharetank team is assisting you with… https://t.co/7Wwow510m3",FALSE,1,"gitasaur",2019-11-06 20:34:37,TRUE,"1191945793995001860","1192178496925245440","49913463","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"324","@mfwpnz Hi Michael, this does not sound right at all. Can you please send us a direct message? ^HM",FALSE,0,"mfwpnz",2019-11-04 21:13:15,FALSE,"1191281573225627648","1191463440604368897","45071700","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"325","@webprogrammer Hi Andrew, awesome to hear you're keen to give Sharetank a go. As for notifications, you can turn th… https://t.co/iI8Ue0Xopv",FALSE,0,"webprogrammer",2019-11-04 02:45:45,TRUE,"1191154888757039104","1191184730106089472","14383174","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"326","We have had the privilege to host Prof Will Steffen to share with us his insights into the climate crisis. We have… https://t.co/aemtmfRGxa",FALSE,7,NA,2019-10-31 03:43:48,TRUE,NA,"1189749787030999040",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","zenergynz",2,FALSE,FALSE,NA,NA
"327","@shiney_jay @AgainAgainCo Hi there, AgainAgain is a great initiative and something our teams is looking into. You'r… https://t.co/VkSixhLgOK",FALSE,3,"shiney_jay",2019-10-31 03:05:39,TRUE,"1189734270975139840","1189740185296211968","1495038559","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
