"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"64","@SinghIs97729933 Hi there, are you able to send us a direct message with more information and your contact details… https://t.co/5nBWMmzTUS",FALSE,0,"SinghIs97729933",2022-09-01 14:09:20,TRUE,"1565333797985722369","1565341035093303296","1254625568496074753","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"65","One Young World 2022 is fast approaching! <U+0001F64C>

Our delegates and scholars are heading to the summit with a mission: t… https://t.co/Id48Qw7FGO",FALSE,18,NA,2022-09-01 09:04:39,TRUE,NA,"1565264360678776832",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bp_plc",3,FALSE,FALSE,NA,NA
"66","@BirderMhairi Hi Mhairi, we're sorry to hear about this. Are you able to send us a DM with more information so that we can look into this?",FALSE,2,"BirderMhairi",2022-08-30 12:31:11,FALSE,"1563982244242493440","1564591560083251200","20927071","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"67","@SZ50619344 Hi there, sea based roles are also posted to https://t.co/U9XeDXQLeP. We would encourage you to keep ch… https://t.co/TB1Mki7pql",FALSE,1,"SZ50619344",2022-08-24 07:54:37,TRUE,"1561377182055817216","1562347633599193089","1398933520794505218","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"68","@SZ50619344 Hi there, thanks for your interest! You can explore all our current opportunities at https://t.co/RoaKIErXtm.",FALSE,1,"SZ50619344",2022-08-21 15:10:10,FALSE,"1560366866664652803","1561370081719996417","1398933520794505218","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",1,FALSE,FALSE,NA,NA
"69","@Ashish_Gokhale Hi Ashish, this is an employment scam. Please do not provide any personal details or transfer any m… https://t.co/99G25va7U8",FALSE,0,"Ashish_Gokhale",2022-08-20 16:07:35,TRUE,"1560881798288007171","1561022139809112065","142968270","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"70","We're trialling a raft of new technologies &amp; fuel types to help the shipping industry decarbonize.

Learn more:… https://t.co/VhE5tSkiW7",FALSE,14,NA,2022-08-18 08:51:36,TRUE,NA,"1560187646894374912",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bp_plc",7,FALSE,FALSE,NA,NA
"71","@NudjLife Hi there. We have 10 aims that support our net zero ambition. Aim 7 is to incentivize our global workforc… https://t.co/EaqyvBb7Q1",FALSE,1,"NudjLife",2022-08-16 15:08:10,TRUE,"1559515940307582976","1559557635346776074","1498415991125995520","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"72","Successful bids for the 2 HKW sites would help <U+0001F1F3><U+0001F1F1> reach its #LowCarbon ambitions through an integrated approach to… https://t.co/ESvNA4uqEF",FALSE,12,NA,2022-08-16 08:12:12,TRUE,NA,"1559452956587696131",NA,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",4,FALSE,FALSE,NA,NA
"73","@timdippel We are very sorry to hear about this experience. We'd appreciate if you could reach out to us at bpconsu… https://t.co/ZfthYBADlt",FALSE,0,"timdippel",2022-08-15 14:33:51,TRUE,"1557836342217920512","1559186614022246400","1481040708","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
